Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Normalized
2020-01-02,60.62,60.72,60.371,60.67,14629077,0.0,0,1.0082762746792528
2020-01-03,60.67,60.969,60.022,60.172,14419537,0.0,0,1.0
2020-01-06,59.873,60.172,59.574,59.773,13809308,0.0,0,0.9933690088413216
2020-01-07,59.973,60.072,59.574,59.674,8818594,0.0,0,0.9917237253207473
2020-01-08,59.076,59.176,58.628,59.076,16826669,0.0,0,0.9817855480954597
2020-01-09,59.325,59.674,59.325,59.624,17802374,0.0,0,0.9908927740477299
2020-01-10,59.724,59.823,59.524,59.624,19011475,0.0,0,0.9908927740477299
2020-01-13,59.275,60.072,59.275,59.724,40492594,0.0,0,0.9925546765937645
2020-01-14,59.574,59.773,59.425,59.524,19350077,0.0,0,0.9892308715016952
2020-01-15,59.375,59.724,59.375,59.574,11324313,0.0,0,0.9900618227747126
2020-01-16,59.574,60.072,59.524,59.674,12528971,0.0,0,0.9917237253207473
2020-01-17,59.624,60.172,59.624,59.923,12045168,0.0,0,0.9958618626603737
2020-01-20,59.674,60.022,59.674,59.724,11801544,0.0,0,0.9925546765937645
2020-01-21,59.126,59.574,58.927,58.927,23520201,0.0,0,0.979309313301868
2020-01-22,58.777,59.275,58.777,59.076,13123069,0.0,0,0.9817855480954597
2020-01-23,58.727,59.076,58.478,58.727,22887881,0.0,0,0.9759855082097986
2020-01-24,58.428,58.777,58.379,58.528,6897204,0.0,0,0.9726783221431895
2020-01-29,56.934,57.681,56.884,57.333,35228942,0.0,0,0.9528185867180748
2020-01-30,56.984,57.183,56.486,56.486,32487044,0.0,0,0.938742272153161
2020-01-31,56.984,57.084,56.635,56.635,23220130,0.0,0,0.9412185069467527
2020-02-03,56.137,56.536,55.888,56.287,26826542,0.0,0,0.9354350860865519
2020-02-04,55.788,56.635,55.788,56.386,24510379,0.0,0,0.9370803696071264
2020-02-05,56.087,56.585,56.087,56.585,25450085,0.0,0,0.9403875556737353
2020-02-06,57.582,58.03,56.984,57.681,21438723,0.0,0,0.9586020075782756
2020-02-07,57.233,57.731,57.233,57.582,16166118,0.0,0,0.9569567240577013
2020-02-10,57.632,58.478,57.532,57.881,21510391,0.0,0,0.961925812670345
2020-02-11,57.98,58.678,57.98,58.428,13625708,0.0,0,0.9710164195971548
2020-02-12,58.827,59.375,58.678,59.126,20911601,0.0,0,0.9826164993684771
2020-02-13,59.524,59.674,59.076,59.225,20939325,0.0,0,0.9842617828890514
2020-02-14,59.275,59.674,59.126,59.425,14762829,0.0,0,0.9875855879811208
2020-02-17,58.927,59.375,58.777,59.176,20379817,0.0,0,0.9834474506414944
2020-02-18,59.126,59.126,57.283,57.532,49578379,0.0,0,0.9561257727846839
2020-02-19,56.038,57.034,55.988,56.785,69758711,0.0,0,0.9437113607658046
2020-02-20,56.585,56.884,56.386,56.585,47355008,0.0,0,0.9403875556737353
2020-02-21,56.287,56.785,56.287,56.436,41477293,0.0,0,0.9379113208801436
2020-02-24,56.436,56.585,56.287,56.287,49917796,0.0,0,0.9354350860865519
2020-02-25,55.788,56.137,55.788,55.838,47023549,0.0,0,0.9279731436548562
2020-02-26,55.241,55.639,55.141,55.39,88500751,0.0,0,0.9205278202486207
